listing_id,date_scraped,date_posted,title,estate,district,floor,size_sqft,rooms,price,unit_price,sold_price,views,source,url
2f4bf53787ef,2026-05-05,14 小時前,景觀開揚，位置方便,海峯,深水埗,中層,928,3,"HKD 10,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3834672
27aef83a7f22,2026-05-06,14 小時前,人人反價佢減價 終極試票30xx萬 急！急！急！,匯璽,南昌,中層,1367,4,"HKD 34,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3836199
ebaacd0542db,2026-05-06,16 小時前,相熟業主！銀行估凸！急走！還價即成！ 立即約睇！試穿31！即走！,匯璽,南昌,中層,1367,4,"HKD 32,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3835973
b6dce2e977c7,2026-05-06,16 小時前,《急讓》接近全新！套現….. 有票可傾 （最後荀盤）,匯璽,南昌,中層,1221,4,"HKD 33,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3835947
ad9857624165,2026-05-06,18 小時前,《急讓》蝕讓！靚裝！估價估凸…..啱可傾….可試$3000,匯璽,南昌,中層,1367,4,"HKD 32,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3835654
a29c4abb04ed,2026-05-06,18 小時前,南昌站的匯璽 2A期 1A座中層C室等你來看！ 鄰近港鐵站，出行超方便！,匯璽,南昌,中層,1367,4,"HKD 31,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3835586
e88d36f98f34,2026-05-06,19 小時前,筍盤再現.西南海景4房2套,匯璽,南昌,中層,1367,4,"HKD 31,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3835480
878d7057e8a3,2026-05-06,15 小時前,業主服軟$2XXX收！瓏璽廳房同海！靚積靚景！一見傾心！見票傾價！約看房！,瓏璽,奧運,中層,1061,3,"HKD 32,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3836108
6ebe7207801b,2026-05-06,16 小時前,巨房巨廳 新鴻基豪宅 大行保證推介 三房套連工人套,瓏璽,奧運,低層,963,3,"HKD 17,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3835869
33d64a28cbb0,2026-05-06,14 小時前,約睇CALL我!! 罕有放盤,溱柏,元朗,高層,954,4,"HKD 8,680,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3836138
ab6506e29e6b,2026-05-06,15 小時前,約睇CALL我!! 罕有靚裝,爾巒,元朗,低層,1156,4,"HKD 12,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3836082
0cea1e5c3022,2026-05-06,18 小時前,加州花園、單邊大花園、魚塘景觀罕有放盤,加州花園,元朗,,980,3,"HKD 13,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3835622
bf0fb99e185e,2026-05-06,22 小時前,"業主急放, 罕有放盤, 簡單裝修, 連露台, 高實用率",Yoho Midtown,元朗,低層,1026,4,"HKD 12,100,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3835158
f9e5510f59f8,2026-05-07,16 小時前,複式單位連天台!! 私人按摩浴池 一線無際海景 皇者氣派 只此一間,浪澄灣,奧運,高層,1202,3,"HKD 32,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3837456
879dab066c28,2026-05-08,14 小時前,真盤！極罕有東南四房兩套,翹翠峰,元朗,低層,1108,4,"HKD 9,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3839142
827357e9bb2c,2026-05-08,17 小時前,翹翠峰超荀4房，業主急走實收970萬,翹翠峰,元朗,中層,1108,4,"HKD 11,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3838841
8cbdece93ed4,2026-05-08,20 小時前,Alex 超級荀盤，100%實用，前大花園，可泊多車，3房1套，投資自住皆可,錦繡花園,元朗,,950,3,"HKD 10,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3838237
ddd23ad74011,2026-05-09,11 小時前,《真實筍盤》業主移民，梗廚4房雙套+工人套 $1200萬 比票傾,爾巒,元朗,中層,1087,4,"HKD 12,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3840922
e0dcff3c3488,2026-05-09,15 小時前,《100%真實放盤》前後雙花園 巨型3房套+工人套連車位 $880萬 還價即走!,翠峰,元朗,低層,968,3,"HKD 8,800,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3840698
c2abd4d87e3b,2026-05-16,11 小時前,震撼登場｜瓏璽4房2套維港海景大宅！,瓏璽,奧運,中層,1462,4,"HKD 54,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3850376
45ccabf463c2,2026-05-16,17 小時前,奧運站星級樓盤 君匯港四房兩套連工人房 開陽海景,君匯港,奧運,高層,1362,4,"HKD 27,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3849875
c89f68084ab5,2026-05-16,22 小時前,維港豪宅 新鴻基品牌 近奧運地鐵站 瞬間可達高鐵西九龍站,瓏璽,奧運,低層,963,3,"HKD 19,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3849235
bb0410f30030,2026-05-16,,"5543O82O. 西南絕美靚海景,超筍連車位,新鴻基樓,荀爆全場. 稍縱即逝",瓏璽,奧運,低層,1243,3,"HKD 33,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3848797
5e0ca36a71ae,2026-05-16,,5543O82O. 間隔方正. 正南海景，則王之選。尺價最筍. 抓住最後機會。,君匯港,奧運,高層,1362,4,"HKD 27,500,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3848768
6329664d8a72,2026-05-16,,5543O82O. 超靚正南海景，地標屋苑. 西鐵港鐵超近. 只此一間.,帝峰皇殿,奧運,中層,1438,4,"HKD 42,000,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3848753
3611138e767a,2026-05-16,15 小時前,【鳳凰樓大單位】四房一套實用大則！廳大房大！間隔實用！罕有放盤！,溱柏,元朗,高層,954,4,"HKD 8,680,000",,,,28hse.com,https://www.28hse.com/buy/apartment/property-3850181
